[ITEN1 Reference Specific Tension],[ITEN2 Reference Specific Tension],[ITEN1 Actual Specific Tension],[ITEN2 Actual Specific Tension],[ITEN3 Reference Specific Tension],[ITEN4 Reference Specific Tension],[ITEN3 Actual Specific Tension],[ITEN4 Actual Specific Tension],[Rolling Speed]
ITEN1 Reference Specific Tension,ITEN2 Reference Specific Tension,ITEN1 Actual Specific Tension,ITEN2 Actual Specific Tension,ITEN3 Reference Specific Tension,ITEN4 Reference Specific Tension,ITEN3 Actual Specific Tension,ITEN4 Actual Specific Tension,Rolling Speed
76.0861,97.9554,76.0861,97.9554,78.4649,89.8316,78.4649,89.8316,0
76.0861,97.9554,76.0861,97.9554,78.4649,89.8316,78.4649,89.8316,0
76.1361,97.9711,76.1361,97.9711,78.4649,89.8316,78.4649,89.8316,0
76.1361,97.9711,76.1361,97.9711,78.4649,89.8508,78.4649,89.8508,0
76.1361,97.9711,76.1361,97.9711,78.68,89.8508,78.68,89.8508,0
76.1916,97.9711,76.1916,97.9711,78.68,89.8508,78.68,89.8508,0
76.1916,97.9408,76.1916,97.9408,78.68,89.8508,78.68,89.8508,0
76.1916,97.9408,76.1916,97.9408,78.68,89.828,78.68,89.828,0
76.1916,97.9408,76.1916,97.9408,79.0168,89.828,79.0168,89.828,0
76.2454,97.9408,76.2454,97.9408,79.0168,89.828,79.0168,89.828,0
76.2454,97.9037,76.2454,97.9037,79.0168,89.828,79.0168,89.828,0
76.2454,97.9037,76.2454,97.9037,79.0168,89.828,79.0168,89.828,0
76.2454,97.9037,76.2454,97.9037,79.3845,89.7212,79.3845,89.7212,0
76.3092,97.9051,76.3092,97.9051,79.3845,89.7212,79.3845,89.7212,0
76.3092,97.9051,76.3092,97.9051,79.3845,89.7212,79.3845,89.7212,0
76.3092,97.9051,76.3092,97.9051,79.3845,89.6511,79.3845,89.6511,0
76.3092,97.9051,76.3092,97.9051,79.6642,89.6511,79.6642,89.6511,0
76.3722,97.9051,76.3722,97.9051,79.6642,89.6511,79.6642,89.6511,0
